date,agent_id,agent_name,shift,experience_months,calls_handled,aht_seconds,csat_score,abandon_rate,fcr_rate,calls_in_queue,day_of_week,is_monday,is_night_shift
2024-07-02,13,Camila Ortiz,morning,2,40,270,3.49,0.084,0.6581,8,1,0,0
2024-07-02,14,Roberto Díaz,morning,24,41,240,4.24,0.0544,0.8924,6,1,0,0
2024-07-02,15,Daniela Vargas,night,30,39,229,3.92,0.0316,0.9396,7,1,0,1
2024-07-02,16,Fernando Reyes,morning,2,44,257,3.63,0.1045,0.5335,27,1,0,0
2024-07-02,17,Gabriela Méndez,morning,21,59,203,4.38,0.0489,0.8425,8,1,0,0
2024-07-02,18,Pablo Jiménez,afternoon,33,33,264,4.52,0.0634,0.8889,10,1,0,0
2024-07-02,19,Laura Sánchez,morning,12,42,228,4.73,0.0885,0.6591,14,1,0,0
2024-07-02,20,Ricardo Chávez,morning,22,45,251,4.52,0.1232,0.8244,29,1,0,0
2024-07-03,1,Sofia Morales,night,29,32,269,3.81,0.0845,0.9123,13,2,0,1
2024-07-03,2,Carlos Pérez,night,15,33,312,3.57,0.0849,0.6692,13,2,0,1
2024-07-03,3,Ana López,morning,8,41,256,3.65,0.0708,0.7559,8,2,0,0
2024-07-03,4,Miguel Torres,afternoon,21,30,198,4.48,0.1164,0.7891,29,2,0,0
2024-07-03,5,Lucía Ramírez,morning,19,48,229,4.84,0.0628,0.8962,4,2,0,0
2024-07-03,6,Diego Hernández,afternoon,23,37,203,3.91,0.1054,0.8514,24,2,0,0
2024-07-03,7,María García,afternoon,11,33,280,3.34,0.0592,0.6766,21,2,0,0
2024-07-03,8,José Martínez,morning,11,48,248,3.82,0.1084,0.681,16,2,0,0
2024-07-03,9,Isabella Flores,morning,24,53,295,4.5,0.0787,0.95,15,2,0,0
2024-07-03,10,Andrés Castro,afternoon,24,40,222,4.25,0.0958,0.743,16,2,0,0
2024-07-03,11,Valentina Ruiz,night,3,30,261,3.56,0.0441,0.5729,12,2,0,1
2024-07-03,12,Eduardo Vega,afternoon,22,50,191,4.04,0.0337,0.8722,3,2,0,0
2024-07-03,13,Camila Ortiz,morning,2,32,260,4.11,0.0793,0.6278,26,2,0,0
2024-07-03,14,Roberto Díaz,night,24,36,289,3.75,0.0267,0.8348,6,2,0,1
2024-07-03,15,Daniela Vargas,afternoon,30,50,194,4.47,0.0898,0.9027,18,2,0,0
2024-07-03,16,Fernando Reyes,night,2,28,314,3.31,0.0543,0.5351,7,2,0,1
2024-07-03,17,Gabriela Méndez,morning,21,56,202,4.23,0.072,0.7504,17,2,0,0
2024-07-03,18,Pablo Jiménez,morning,33,35,253,4.23,0.0559,0.892,13,2,0,0
2024-07-03,19,Laura Sánchez,afternoon,12,53,197,4.61,0.0659,0.5729,14,2,0,0
2024-07-03,20,Ricardo Chávez,night,22,20,261,4.05,0.0773,0.813,18,2,0,1
2024-07-04,1,Sofia Morales,morning,29,40,257,4.59,0.1055,0.8641,19,3,0,0
2024-07-04,2,Carlos Pérez,afternoon,15,42,249,3.98,0.12,0.8249,27,3,0,0
2024-07-04,3,Ana López,morning,8,39,232,4.1,0.0559,0.6806,12,3,0,0
2024-07-04,4,Miguel Torres,morning,21,17,218,4.16,0.0854,0.95,14,3,0,0
2024-07-04,5,Lucía Ramírez,morning,19,49,274,4.76,0.0877,0.8672,19,3,0,0
2024-07-04,6,Diego Hernández,afternoon,23,42,206,4.3,0.0744,0.8634,5,3,0,0
2024-07-04,7,María García,afternoon,11,47,275,4.11,0.1028,0.6483,25,3,0,0
2024-07-04,8,José Martínez,morning,11,48,204,4.78,0.0591,0.6049,20,3,0,0
2024-07-04,9,Isabella Flores,morning,24,37,239,4.41,0.0941,0.9132,13,3,0,0
2024-07-04,10,Andrés Castro,night,24,19,267,3.93,0.0637,0.8326,6,3,0,1
2024-07-04,11,Valentina Ruiz,afternoon,3,22,290,3.86,0.0426,0.523,10,3,0,0
2024-07-04,12,Eduardo Vega,afternoon,22,30,226,4.59,0.0875,0.8188,19,3,0,0
2024-07-04,13,Camila Ortiz,morning,2,46,330,4.11,0.0799,0.607,16,3,0,0
2024-07-04,14,Roberto Díaz,afternoon,24,30,161,4.48,0.0797,0.7476,19,3,0,0
2024-07-04,15,Daniela Vargas,night,30,30,204,3.5,0.0271,0.8826,5,3,0,1
2024-07-04,16,Fernando Reyes,afternoon,2,60,253,4.29,0.1147,0.713,20,3,0,0
2024-07-04,17,Gabriela Méndez,morning,21,50,217,3.7,0.0659,0.8005,9,3,0,0
2024-07-04,18,Pablo Jiménez,night,33,28,147,4.76,0.0742,0.9408,14,3,0,1
2024-07-04,19,Laura Sánchez,night,12,32,342,3.43,0.0797,0.7387,17,3,0,1
2024-07-04,20,Ricardo Chávez,afternoon,22,54,234,4.58,0.0801,0.8148,16,3,0,0
2024-07-05,1,Sofia Morales,morning,29,31,250,4.1,0.1268,0.9141,42,4,0,0
2024-07-05,2,Carlos Pérez,afternoon,15,59,221,4.31,0.1164,0.7751,28,4,0,0
2024-07-05,3,Ana López,morning,8,40,216,4.16,0.1283,0.6947,31,4,0,0
2024-07-05,4,Miguel Torres,afternoon,21,36,243,4.24,0.1096,0.8446,33,4,0,0
2024-07-05,5,Lucía Ramírez,afternoon,19,35,299,4.49,0.1334,0.9326,33,4,0,0
2024-07-05,6,Diego Hernández,morning,23,30,257,3.69,0.0969,0.9263,34,4,0,0
2024-07-05,7,María García,morning,11,52,290,4.32,0.1495,0.7527,40,4,0,0
2024-07-05,8,José Martínez,afternoon,11,37,237,3.95,0.1446,0.7002,29,4,0,0
2024-07-05,9,Isabella Flores,afternoon,24,33,143,4.09,0.1576,0.95,30,4,0,0
2024-07-05,10,Andrés Castro,morning,24,55,289,4.05,0.1555,0.7904,34,4,0,0
2024-07-05,11,Valentina Ruiz,morning,3,51,219,4.07,0.1074,0.6955,28,4,0,0
2024-07-05,12,Eduardo Vega,morning,22,40,270,4.48,0.1006,0.7867,26,4,0,0
2024-07-05,13,Camila Ortiz,morning,2,36,249,3.61,0.1112,0.6203,20,4,0,0
2024-07-05,14,Roberto Díaz,afternoon,24,32,228,4.38,0.1343,0.8945,36,4,0,0
2024-07-05,15,Daniela Vargas,afternoon,30,41,232,4.86,0.1031,0.8611,32,4,0,0
2024-07-05,16,Fernando Reyes,morning,2,39,252,4.53,0.1262,0.4599,32,4,0,0
2024-07-05,17,Gabriela Méndez,night,21,19,262,3.52,0.0582,0.6682,15,4,0,1
2024-07-05,18,Pablo Jiménez,afternoon,33,36,123,4.72,0.115,0.95,21,4,0,0
2024-07-05,19,Laura Sánchez,morning,12,46,313,4.58,0.1319,0.6927,20,4,0,0
2024-07-05,20,Ricardo Chávez,morning,22,40,217,4.37,0.1188,0.8806,25,4,0,0
2024-07-08,1,Sofia Morales,night,29,27,273,4.13,0.1501,0.7992,25,0,1,1
2024-07-08,2,Carlos Pérez,afternoon,15,46,176,4.43,0.2137,0.7736,43,0,1,0
2024-07-08,3,Ana López,night,8,39,304,3.42,0.1531,0.628,33,0,1,1
2024-07-08,4,Miguel Torres,afternoon,21,45,243,4.39,0.2374,0.8544,51,0,1,0
2024-07-08,5,Lucía Ramírez,morning,19,41,270,4.56,0.2099,0.7527,50,0,1,0
2024-07-08,6,Diego Hernández,morning,23,46,188,4.36,0.201,0.732,42,0,1,0
2024-07-08,7,María García,afternoon,11,46,289,3.77,0.165,0.8118,34,0,1,0
2024-07-08,8,José Martínez,morning,11,47,274,4.48,0.2221,0.6909,48,0,1,0
2024-07-08,9,Isabella Flores,afternoon,24,38,196,4.13,0.2287,0.7743,53,0,1,0
2024-07-08,10,Andrés Castro,afternoon,24,45,173,4.3,0.2438,0.918,59,0,1,0
2024-07-08,11,Valentina Ruiz,afternoon,3,25,237,4.12,0.1957,0.5773,43,0,1,0
2024-07-08,12,Eduardo Vega,afternoon,22,44,229,4.34,0.2062,0.7357,46,0,1,0
2024-07-08,13,Camila Ortiz,morning,2,35,280,3.71,0.2055,0.7349,44,0,1,0
2024-07-08,14,Roberto Díaz,morning,24,36,157,4.16,0.235,0.8327,47,0,1,0
2024-07-08,15,Daniela Vargas,morning,30,52,184,4.76,0.2312,0.95,44,0,1,0
2024-07-08,16,Fernando Reyes,afternoon,2,46,322,3.89,0.2384,0.5472,51,0,1,0
2024-07-08,17,Gabriela Méndez,morning,21,34,318,4.08,0.1786,0.8451,38,0,1,0
2024-07-08,18,Pablo Jiménez,morning,33,55,184,5.0,0.1823,0.95,51,0,1,0
2024-07-08,19,Laura Sánchez,morning,12,38,345,3.48,0.2142,0.6041,43,0,1,0
2024-07-08,20,Ricardo Chávez,afternoon,22,41,273,3.56,0.2325,0.8651,50,0,1,0
2024-07-09,1,Sofia Morales,night,29,21,154,4.9,0.0332,0.8525,7,1,0,1
2024-07-09,2,Carlos Pérez,morning,15,38,235,3.62,0.0557,0.709,19,1,0,0
2024-07-09,3,Ana López,night,8,35,346,3.31,0.0623,0.6267,12,1,0,1
2024-07-09,4,Miguel Torres,night,21,24,285,4.0,0.0638,0.867,11,1,0,1
2024-07-09,5,Lucía Ramírez,night,19,28,239,3.84,0.06,0.7429,7,1,0,1
2024-07-09,6,Diego Hernández,morning,23,49,264,4.56,0.0615,0.95,18,1,0,0
2024-07-09,7,María García,morning,11,30,363,3.4,0.113,0.6205,31,1,0,0
2024-07-09,8,José Martínez,morning,11,40,251,3.8,0.09,0.7502,21,1,0,0
2024-07-09,9,Isabella Flores,morning,24,45,197,4.96,0.0995,0.8954,23,1,0,0
2024-07-09,10,Andrés Castro,afternoon,24,43,242,4.21,0.103,0.8048,24,1,0,0
2024-07-09,11,Valentina Ruiz,morning,3,35,246,4.19,0.0749,0.5794,12,1,0,0
2024-07-09,12,Eduardo Vega,morning,22,40,247,4.12,0.1161,0.7709,27,1,0,0
2024-07-09,13,Camila Ortiz,morning,2,50,208,3.73,0.0648,0.5271,16,1,0,0
2024-07-09,14,Roberto Díaz,morning,24,54,211,4.63,0.054,0.8854,10,1,0,0
2024-07-09,15,Daniela Vargas,morning,30,48,183,4.37,0.1057,0.95,16,1,0,0
2024-07-09,16,Fernando Reyes,afternoon,2,26,323,3.82,0.0951,0.4883,24,1,0,0
2024-07-09,17,Gabriela Méndez,night,21,40,261,3.71,0.0676,0.8532,15,1,0,1
2024-07-09,18,Pablo Jiménez,morning,33,30,177,4.39,0.0881,0.95,24,1,0,0
2024-07-09,19,Laura Sánchez,night,12,34,340,3.57,0.0802,0.6603,25,1,0,1
2024-07-09,20,Ricardo Chávez,morning,22,43,183,4.16,0.0753,0.8796,15,1,0,0
2024-07-10,1,Sofia Morales,night,29,43,290,3.95,0.0423,0.8655,12,2,0,1
2024-07-10,2,Carlos Pérez,afternoon,15,47,182,4.14,0.0864,0.6475,19,2,0,0
2024-07-10,3,Ana López,afternoon,8,42,257,4.08,0.1181,0.6788,23,2,0,0
2024-07-10,4,Miguel Torres,afternoon,21,37,229,4.68,0.0557,0.7558,9,2,0,0
2024-07-10,5,Lucía Ramírez,night,19,30,235,4.06,0.0671,0.7095,7,2,0,1
2024-07-10,6,Diego Hernández,night,23,30,242,4.42,0.0762,0.9327,11,2,0,1
2024-07-10,7,María García,morning,11,55,272,4.27,0.1112,0.8204,15,2,0,0
2024-07-10,8,José Martínez,afternoon,11,39,304,4.59,0.1071,0.7573,28,2,0,0
2024-07-10,9,Isabella Flores,afternoon,24,27,256,4.34,0.1109,0.911,28,2,0,0
2024-07-10,10,Andrés Castro,morning,24,34,261,4.35,0.1214,0.7848,15,2,0,0
2024-07-10,11,Valentina Ruiz,morning,3,34,259,3.85,0.0803,0.6212,15,2,0,0
2024-07-10,12,Eduardo Vega,night,22,41,281,4.24,0.0837,0.95,10,2,0,1
2024-07-10,13,Camila Ortiz,afternoon,2,39,261,4.03,0.1356,0.6533,27,2,0,0
2024-07-10,14,Roberto Díaz,night,24,22,202,3.85,0.0107,0.8816,5,2,0,1
2024-07-10,15,Daniela Vargas,afternoon,30,53,151,3.77,0.0787,0.9365,9,2,0,0
2024-07-10,16,Fernando Reyes,morning,2,37,270,4.39,0.0863,0.6359,27,2,0,0
2024-07-10,17,Gabriela Méndez,morning,21,34,265,4.33,0.0976,0.7954,24,2,0,0
2024-07-10,18,Pablo Jiménez,afternoon,33,28,178,4.05,0.0855,0.9,20,2,0,0
2024-07-10,19,Laura Sánchez,morning,12,37,264,3.71,0.1041,0.5881,31,2,0,0
2024-07-10,20,Ricardo Chávez,afternoon,22,44,149,4.68,0.1106,0.8027,22,2,0,0
2024-07-11,1,Sofia Morales,afternoon,29,35,209,4.58,0.0694,0.8354,10,3,0,0
2024-07-11,2,Carlos Pérez,afternoon,15,36,156,3.54,0.0616,0.7505,8,3,0,0
2024-07-11,3,Ana López,afternoon,8,34,277,3.86,0.0808,0.6044,21,3,0,0
2024-07-11,4,Miguel Torres,night,21,36,214,3.98,0.0599,0.8137,9,3,0,1
2024-07-11,5,Lucía Ramírez,afternoon,19,41,223,4.53,0.0983,0.9051,19,3,0,0
2024-07-11,6,Diego Hernández,morning,23,47,183,4.3,0.09,0.7905,22,3,0,0
2024-07-11,7,María García,morning,11,54,276,4.31,0.0925,0.6546,17,3,0,0
2024-07-11,8,José Martínez,morning,11,52,205,4.43,0.0801,0.824,24,3,0,0
2024-07-11,9,Isabella Flores,morning,24,62,258,4.41,0.0715,0.8217,5,3,0,0
2024-07-11,10,Andrés Castro,morning,24,55,244,3.91,0.1385,0.85,36,3,0,0
2024-07-11,11,Valentina Ruiz,afternoon,3,48,196,4.27,0.1137,0.5921,23,3,0,0
2024-07-11,12,Eduardo Vega,morning,22,46,238,3.93,0.0528,0.8073,10,3,0,0
2024-07-11,13,Camila Ortiz,morning,2,48,357,4.59,0.0961,0.6425,21,3,0,0
2024-07-11,14,Roberto Díaz,morning,24,39,274,4.5,0.0639,0.8656,11,3,0,0
2024-07-11,15,Daniela Vargas,morning,30,52,181,4.41,0.0667,0.95,13,3,0,0
2024-07-11,16,Fernando Reyes,afternoon,2,41,353,3.53,0.1113,0.6074,25,3,0,0
2024-07-11,17,Gabriela Méndez,morning,21,46,236,4.65,0.0596,0.7381,8,3,0,0
2024-07-11,18,Pablo Jiménez,night,33,38,247,3.88,0.0545,0.9285,6,3,0,1
2024-07-11,19,Laura Sánchez,morning,12,44,288,3.78,0.0622,0.6422,10,3,0,0
2024-07-11,20,Ricardo Chávez,morning,22,34,251,4.22,0.0745,0.7656,14,3,0,0
2024-07-12,1,Sofia Morales,afternoon,29,35,273,4.64,0.1438,0.95,40,4,0,0
2024-07-12,2,Carlos Pérez,morning,15,46,251,3.69,0.1124,0.8407,34,4,0,0
2024-07-12,3,Ana López,morning,8,54,205,3.84,0.1378,0.6604,37,4,0,0
2024-07-12,4,Miguel Torres,afternoon,21,45,173,3.92,0.11,0.7888,23,4,0,0
2024-07-12,5,Lucía Ramírez,morning,19,33,185,4.54,0.1187,0.6523,29,4,0,0
2024-07-12,6,Diego Hernández,morning,23,45,235,3.91,0.1128,0.6985,25,4,0,0
2024-07-12,7,María García,night,11,29,295,3.93,0.0738,0.7355,16,4,0,1
2024-07-12,8,José Martínez,morning,11,39,262,4.16,0.1217,0.7521,34,4,0,0
2024-07-12,9,Isabella Flores,afternoon,24,37,205,4.03,0.0759,0.7877,23,4,0,0
2024-07-12,10,Andrés Castro,afternoon,24,35,248,4.91,0.118,0.95,32,4,0,0
2024-07-12,11,Valentina Ruiz,morning,3,24,273,3.99,0.1692,0.7261,43,4,0,0
2024-07-12,12,Eduardo Vega,afternoon,22,37,209,4.56,0.1227,0.8224,26,4,0,0
2024-07-12,13,Camila Ortiz,afternoon,2,24,267,3.94,0.1035,0.5659,23,4,0,0
2024-07-12,14,Roberto Díaz,night,24,23,262,3.97,0.0602,0.8332,27,4,0,1
2024-07-12,15,Daniela Vargas,afternoon,30,41,171,4.05,0.1251,0.95,34,4,0,0
2024-07-12,16,Fernando Reyes,morning,2,34,284,4.04,0.0948,0.6702,29,4,0,0
2024-07-12,17,Gabriela Méndez,morning,21,35,218,4.61,0.0966,0.9085,25,4,0,0
2024-07-12,18,Pablo Jiménez,afternoon,33,34,171,4.91,0.1004,0.95,26,4,0,0
2024-07-12,19,Laura Sánchez,afternoon,12,36,296,3.52,0.1162,0.883,22,4,0,0
2024-07-12,20,Ricardo Chávez,morning,22,48,221,4.76,0.1022,0.7871,26,4,0,0
2024-07-15,1,Sofia Morales,afternoon,29,32,227,4.65,0.1845,0.95,33,0,1,0
2024-07-15,2,Carlos Pérez,morning,15,33,215,3.97,0.2293,0.6979,42,0,1,0
2024-07-15,3,Ana López,morning,8,41,279,4.3,0.225,0.6685,49,0,1,0
2024-07-15,4,Miguel Torres,morning,21,47,201,4.3,0.1873,0.8127,41,0,1,0
2024-07-15,5,Lucía Ramírez,afternoon,19,39,278,4.38,0.1486,0.76,37,0,1,0
2024-07-15,6,Diego Hernández,afternoon,23,39,231,4.34,0.2294,0.8326,47,0,1,0
2024-07-15,7,María García,morning,11,25,259,3.89,0.2017,0.7656,44,0,1,0
2024-07-15,8,José Martínez,morning,11,55,259,4.08,0.1852,0.6226,42,0,1,0
2024-07-15,9,Isabella Flores,night,24,24,274,3.99,0.1672,0.8782,33,0,1,1
2024-07-15,10,Andrés Castro,night,24,23,237,4.25,0.153,0.8361,28,0,1,1
2024-07-15,11,Valentina Ruiz,afternoon,3,31,285,4.13,0.187,0.4369,38,0,1,0
2024-07-15,12,Eduardo Vega,morning,22,40,198,4.25,0.2097,0.8138,44,0,1,0
2024-07-15,13,Camila Ortiz,night,2,20,344,4.09,0.1742,0.6222,32,0,1,1
2024-07-15,14,Roberto Díaz,morning,24,34,228,4.15,0.1905,0.9017,42,0,1,0
2024-07-15,15,Daniela Vargas,afternoon,30,35,215,4.55,0.1911,0.9475,39,0,1,0
2024-07-15,16,Fernando Reyes,morning,2,37,212,3.59,0.2238,0.5911,47,0,1,0
2024-07-15,17,Gabriela Méndez,morning,21,46,197,4.39,0.2083,0.7176,41,0,1,0
2024-07-15,18,Pablo Jiménez,night,33,34,239,4.33,0.1477,0.95,29,0,1,1
2024-07-15,19,Laura Sánchez,morning,12,51,270,4.31,0.2402,0.5391,52,0,1,0
2024-07-15,20,Ricardo Chávez,afternoon,22,41,233,4.69,0.223,0.8689,47,0,1,0
2024-07-16,1,Sofia Morales,night,29,31,120,4.49,0.0399,0.9413,8,1,0,1
2024-07-16,2,Carlos Pérez,morning,15,48,211,4.47,0.0573,0.7121,15,1,0,0
2024-07-16,3,Ana López,afternoon,8,35,270,3.99,0.0811,0.5993,22,1,0,0
2024-07-16,4,Miguel Torres,afternoon,21,37,229,4.46,0.0807,0.7448,24,1,0,0
2024-07-16,5,Lucía Ramírez,afternoon,19,40,278,4.01,0.0615,0.8328,12,1,0,0
2024-07-16,6,Diego Hernández,morning,23,51,253,4.36,0.0579,0.95,12,1,0,0
2024-07-16,7,María García,morning,11,51,283,4.23,0.0907,0.6221,20,1,0,0
2024-07-16,8,José Martínez,afternoon,11,53,278,3.65,0.0525,0.4856,14,1,0,0
2024-07-16,9,Isabella Flores,morning,24,46,231,4.32,0.0771,0.768,15,1,0,0
2024-07-16,10,Andrés Castro,night,24,27,249,3.98,0.0646,0.8552,15,1,0,1
2024-07-16,11,Valentina Ruiz,morning,3,41,297,3.91,0.0845,0.5518,19,1,0,0
2024-07-16,12,Eduardo Vega,afternoon,22,29,186,4.59,0.0797,0.7516,16,1,0,0
2024-07-16,13,Camila Ortiz,afternoon,2,49,261,3.97,0.1118,0.5737,21,1,0,0
2024-07-16,14,Roberto Díaz,morning,24,38,241,4.22,0.0439,0.95,10,1,0,0
2024-07-16,15,Daniela Vargas,morning,30,48,272,4.62,0.0677,0.95,24,1,0,0
2024-07-16,16,Fernando Reyes,afternoon,2,44,259,3.51,0.0597,0.6195,11,1,0,0
2024-07-16,17,Gabriela Méndez,morning,21,44,266,4.23,0.081,0.8176,12,1,0,0
2024-07-16,18,Pablo Jiménez,morning,33,27,196,4.86,0.1,0.95,18,1,0,0
2024-07-16,19,Laura Sánchez,morning,12,47,220,4.13,0.0647,0.7387,15,1,0,0
2024-07-16,20,Ricardo Chávez,afternoon,22,54,295,4.12,0.0675,0.7079,16,1,0,0
2024-07-17,1,Sofia Morales,afternoon,29,33,132,4.12,0.0659,0.8796,13,2,0,0
2024-07-17,2,Carlos Pérez,morning,15,42,216,4.49,0.083,0.6334,13,2,0,0
2024-07-17,3,Ana López,morning,8,45,293,4.11,0.0925,0.5677,30,2,0,0
2024-07-17,4,Miguel Torres,morning,21,65,233,4.56,0.0762,0.8417,17,2,0,0
2024-07-17,5,Lucía Ramírez,morning,19,38,272,4.39,0.0855,0.7349,17,2,0,0
2024-07-17,6,Diego Hernández,morning,23,38,235,4.22,0.0762,0.738,14,2,0,0
2024-07-17,7,María García,night,11,19,247,3.34,0.074,0.6232,11,2,0,1
2024-07-17,8,José Martínez,night,11,30,318,3.75,0.0465,0.6499,7,2,0,1
2024-07-17,9,Isabella Flores,morning,24,46,234,4.98,0.0718,0.7244,20,2,0,0
2024-07-17,10,Andrés Castro,afternoon,24,43,233,4.12,0.0795,0.8733,15,2,0,0
2024-07-17,11,Valentina Ruiz,afternoon,3,38,251,3.7,0.0815,0.5725,15,2,0,0
2024-07-17,12,Eduardo Vega,afternoon,22,51,206,4.43,0.0825,0.8663,16,2,0,0
2024-07-17,13,Camila Ortiz,night,2,17,255,3.38,0.0282,0.503,6,2,0,1
2024-07-17,14,Roberto Díaz,night,24,26,249,4.16,0.05,0.8999,7,2,0,1
2024-07-17,15,Daniela Vargas,night,30,30,240,4.81,0.1101,0.9472,22,2,0,1
2024-07-17,16,Fernando Reyes,morning,2,41,265,3.88,0.0777,0.5334,17,2,0,0
2024-07-17,17,Gabriela Méndez,morning,21,50,196,3.97,0.0742,0.7129,14,2,0,0
2024-07-17,18,Pablo Jiménez,night,33,34,306,3.74,0.0599,0.9113,6,2,0,1
2024-07-17,19,Laura Sánchez,afternoon,12,54,280,4.62,0.0583,0.6881,13,2,0,0
2024-07-17,20,Ricardo Chávez,afternoon,22,31,221,4.78,0.059,0.795,12,2,0,0
2024-07-18,1,Sofia Morales,afternoon,29,33,221,4.46,0.0859,0.7755,22,3,0,0
2024-07-18,2,Carlos Pérez,night,15,25,218,3.72,0.053,0.7513,10,3,0,1
2024-07-18,3,Ana López,afternoon,8,28,169,3.61,0.1062,0.4618,14,3,0,0
2024-07-18,4,Miguel Torres,afternoon,21,49,231,3.61,0.0866,0.7011,15,3,0,0
2024-07-18,5,Lucía Ramírez,morning,19,40,228,4.53,0.0873,0.7377,22,3,0,0
2024-07-18,6,Diego Hernández,afternoon,23,41,257,4.82,0.0721,0.7763,17,3,0,0
2024-07-18,7,María García,night,11,20,311,3.88,0.0514,0.7114,2,3,0,1
2024-07-18,8,José Martínez,morning,11,51,271,4.25,0.0779,0.758,22,3,0,0
2024-07-18,9,Isabella Flores,morning,24,54,296,4.74,0.0909,0.7811,16,3,0,0
2024-07-18,10,Andrés Castro,morning,24,55,266,4.06,0.1007,0.8385,19,3,0,0
2024-07-18,11,Valentina Ruiz,morning,3,42,261,4.26,0.1164,0.5942,25,3,0,0
2024-07-18,12,Eduardo Vega,night,22,34,287,3.89,0.0534,0.7602,0,3,0,1
2024-07-18,13,Camila Ortiz,night,2,25,326,3.4,0.0819,0.5287,18,3,0,1
2024-07-18,14,Roberto Díaz,night,24,24,244,3.58,0.08,0.8705,16,3,0,1
2024-07-18,15,Daniela Vargas,morning,30,62,156,4.47,0.0785,0.9048,15,3,0,0
2024-07-18,16,Fernando Reyes,morning,2,56,383,3.8,0.0746,0.6041,20,3,0,0
2024-07-18,17,Gabriela Méndez,afternoon,21,50,210,4.36,0.0691,0.8858,12,3,0,0
2024-07-18,18,Pablo Jiménez,night,33,42,298,3.69,0.0663,0.8444,10,3,0,1
2024-07-18,19,Laura Sánchez,morning,12,44,208,3.68,0.0832,0.5923,18,3,0,0
2024-07-18,20,Ricardo Chávez,afternoon,22,41,224,4.03,0.0674,0.8371,12,3,0,0
2024-07-19,1,Sofia Morales,morning,29,44,221,4.72,0.0978,0.8636,22,4,0,0
2024-07-19,2,Carlos Pérez,morning,15,49,272,3.84,0.1002,0.7822,30,4,0,0
2024-07-19,3,Ana López,night,8,20,295,3.79,0.0936,0.6002,23,4,0,1
2024-07-19,4,Miguel Torres,afternoon,21,31,185,4.12,0.1356,0.8338,28,4,0,0
2024-07-19,5,Lucía Ramírez,night,19,34,271,3.37,0.0837,0.858,23,4,0,1
